timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217162.654,153.32,-420.41,-53.223,224.609,0.0
1659217162.657,93.75,-410.156,-57.129,195.312,0.0
1659217162.661,-371.582,-415.039,-50.293,-238.281,0.0
1659217162.665,-390.625,-407.227,-46.387,-270.996,0.0
1659217162.668,69.824,-385.742,-49.316,129.395,0.0
1659217162.672,239.258,-384.766,-48.34,288.086,0.0
1659217162.676,-262.207,-397.949,-41.504,-104.004,0.0
1659217162.679,-493.652,-394.043,-38.574,-312.5,0.0
1659217162.683,-105.957,-382.812,-46.387,-7.812,0.0
1659217162.687,230.957,-369.629,-47.852,290.039,0.0
1659217162.69,-131.348,-366.211,-42.48,-20.996,0.0
1659217162.694,-485.84,-373.047,-41.992,-340.332,0.0
1659217162.7,-208.008,-372.559,-47.363,-107.91,0.0
1659217162.704,219.238,-364.746,-44.434,272.949,0.0
1659217162.708,11.23,-364.746,-38.574,85.449,0.0
1659217162.711,-454.102,-367.188,-41.992,-335.449,0.0
1659217162.715,-342.285,-359.863,-41.016,-245.117,0.0
1659217162.719,123.047,-359.863,-44.922,173.34,0.0
1659217162.722,117.676,-373.535,-54.688,195.801,0.0
1659217162.726,-386.719,-382.324,-62.5,-253.418,0.0
1659217162.73,-452.148,-380.859,-68.359,-325.684,0.0
1659217162.733,8.301,-365.234,-71.289,90.82,0.0
1659217162.737,196.289,-354.004,-69.336,257.812,0.0
1659217162.741,-263.672,-361.816,-64.941,-169.434,0.0
1659217162.746,-499.023,-368.652,-73.242,-402.344,0.0
1659217162.75,-163.086,-361.328,-78.613,-97.168,0.0
1659217162.754,185.547,-347.168,-79.102,225.586,0.0
1659217162.757,-139.16,-353.027,-78.613,-51.27,0.0
1659217162.761,-509.766,-361.816,-77.637,-366.699,0.0
1659217162.765,-270.508,-356.445,-74.707,-168.945,0.0
1659217162.768,148.438,-348.145,-71.777,196.289,0.0
1659217162.772,4.883,-348.633,-67.871,67.871,0.0
1659217162.776,-469.238,-357.422,-69.824,-356.445,0.0
1659217162.779,-414.551,-354.492,-73.242,-305.176,0.0
1659217162.783,42.969,-346.191,-63.965,105.469,0.0
1659217162.787,92.773,-345.215,-62.012,182.617,0.0
1659217162.794,-399.902,-356.934,-62.988,-248.535,0.0
1659217162.798,-504.395,-367.188,-55.664,-358.887,0.0
1659217162.801,-84.961,-358.887,-55.176,-7.324,0.0
1659217162.805,150.879,-350.586,-55.664,198.73,0.0
1659217162.809,-264.648,-359.375,-51.27,-153.32,0.0
1659217162.812,-542.48,-358.887,-54.199,-409.18,0.0
1659217162.816,-221.68,-344.727,-55.664,-130.371,0.0
1659217162.82,159.668,-339.844,-48.828,227.539,0.0
1659217162.823,-122.559,-344.727,-42.48,-15.137,0.0
1659217162.827,-536.133,-346.68,-44.922,-403.32,0.0
1659217162.831,-358.887,-340.82,-49.805,-266.113,0.0
1659217162.834,102.051,-332.031,-50.293,141.113,0.0
1659217162.841,46.387,-329.59,-43.457,98.145,0.0
1659217162.845,-454.59,-330.566,-41.504,-342.285,0.0
1659217162.848,-467.773,-328.125,-49.316,-374.512,0.0
1659217162.852,15.137,-309.57,-49.316,15.137,0.0
1659217162.856,124.023,-303.711,-39.062,148.926,0.0
1659217162.859,-359.375,-314.453,-39.551,-244.629,0.0
1659217162.863,-525.879,-313.965,-41.504,-416.016,0.0
1659217162.867,-115.723,-298.34,-37.598,-70.312,0.0
1659217162.87,189.453,-294.922,-32.227,225.098,0.0
1659217162.874,-201.66,-304.688,-33.203,-104.004,0.0
1659217162.878,-526.855,-304.199,-41.016,-422.852,0.0
1659217162.881,-230.469,-305.664,-42.969,-179.199,0.0
1659217162.888,179.688,-294.434,-45.898,201.172,0.0
1659217162.892,-62.988,-300.781,-40.039,6.836,0.0
1659217162.895,-519.043,-320.312,-36.133,-399.414,0.0
